# Enumeration for the upcoming step: "RuleCategory is retired as a separate vocabulary; the display group is derived from the producer's family -- the first dot-separated segment of its name."
# Snapshot: branch rule-vocabulary-channel-levels, HEAD 1ce47801, taken 2026-08-26. Method: (a) mcp__serena__find_referencing_symbols (2 calls: on RuleCategory itself, on RuleMetadata); (b) git grep -P over src/ and tests/; (c) live product runs (bin/qmx rules, bin/qmx rules --group=..., bin/qmx check --format=<each of 11 formats>). Prior tables under docs/internal/plans/rule-vocabulary/*.tsv were NOT read, per instruction.
# Coverage / blind spots of this method, per channel -- state explicitly what each channel does NOT see:
#   string identifiers (raw '...RuleCategory::X' greps) -- covered: git grep -P over src/ and tests/, cross-checked against Serena's symbol-reference walk (232 == 113+119 matched exactly).
#   reflection reads (RuleOwnConstantReader, CliAliasReader, RuleDocsPageReader) -- covered for NAME/DOCS_PAGE/REMEDIATION_MINUTES because they gate every producer's registration and were read directly; RuleCategory itself is never read by reflection anywhere in src/ (confirmed: zero hits for a reflection-based category reader) -- so this channel is a true negative, not a blind spot.
#   PHPDoc / docblocks -- covered manually for the files carrying the ADR-grade rationale (RuleCategory.php, RuleDocsPageReader.php, RuleIdentifierLiteralGuardTest.php, Core/README.md); NOT exhaustively grepped across every docblock in the tree, so an unrelated docblock mentioning "category" in an unrelated sense elsewhere in src/ may exist unseen (spot-checked, none found beyond what's listed).
#   DI configuration / autoconfiguration by tag or interface -- NOT applicable: RuleCategory is a plain enum value carried on VOs (RuleMetadata, ProducerDeclaration), never a DI tag, never referenced from any *Configurator.php or compiler-pass tag definition except as a plain constructor argument (ChannelDeclarationCompilerPass.php:324) -- checked, confirmed absent elsewhere.
#   HTML report templates / JS bundle (src/Reporting/Template/) -- NOT separately grepped inside compiled JS/Vue assets; the PHP-side HtmlFormatter was checked and does not pass category into its payload (grep across src/Reporting/ for "RuleCategory" returned zero hits) -- treated as covered via the PHP boundary, but the JS source tree itself was not opened.
#   tests/ -- covered at file granularity (49 files, 119 occurrences, git grep -c cross-checked); NOT itemized per line inside per-rule unit tests (each such test's own line is a mechanical assertSame(RuleCategory::X, $rule->getCategory()) restating what its production rule class already declares in kind=producer; itemizing all 119 lines individually would duplicate the producer table without adding a new consumption mechanism -- deliberate rollup, not an omission; the handful of structurally distinct test consumers -- RulesCommandTest, RuleExecutorTest, ChannelDeclarationCompilerPassTest, ChannelPresentationViewTest, RuleRegistryCompilerPassTest, AbstractRuleSubjectControlTest, ConfigurationErrorClassificationTopologyTest, RuleIdentifierLiteralGuardTest -- are each still their own consumer row.
#   external consumers (outside this repository) -- out of scope by construction; nothing in this repo publishes RuleCategory as a stable wire format (no format serializes it, see kind=surface), so there is no evidence of an external contract on its values.
#
# kind=producer columns: producer_name, declared_category, first_segment, equal(yes|no), how_declared, source
# kind=consumer columns: file, line, what_it_does(declares|groups-for-display|filters|documents|asserts|other), observable(yes|no), note
# kind=surface columns: surface, verified_by, observed_output
# kind=derivation-risk columns: risk, verified_by, verdict
# kind=filter-domain columns: aspect, behavior, verified_by
kind	c1	c2	c3	c4	c5	c6
consumer	tests/Analysis/Evidence/CodeSmell/Unit/LongParameterListRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/CodeSmell/Unit/IdenticalSubExpressionRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/CodeSmell/Unit/GotoRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/CodeSmell/Unit/ExitRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/CodeSmell/Unit/EvalRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/CodeSmell/Unit/ErrorSuppressionRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/CodeSmell/Unit/EmptyCatchRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/CodeSmell/Unit/DebugCodeRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/CodeSmell/Unit/CountInLoopRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/CodeSmell/Unit/ConstructorOverinjectionRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/CodeSmell/Unit/BooleanArgumentRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/CircularDependency/Unit/CircularDependencyRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
surface	bin/qmx rules (no filter) -- group headers	bin/qmx rules (run live)	13 group headers in ascending string order: Annotation, Architecture, Code-smell, Cohesion, Complexity, Computed, Coupling, Design, Duplication, Health, Maintainability, Security, Size -- one per RuleCategory case, header text = ucfirst(category->value); 51 rules total, confirmed by \"51 rules available\"			
surface	bin/qmx rules --group=<value> -- filter	bin/qmx rules --group=code-smell (run live)	\"14 rules available\" -- exact count of code-smell.* producers, matches kind=producer rows for code-smell			
surface	bin/qmx rules --group=<unknown or wrong-case value>	bin/qmx rules --group=nonexistent AND --group=CodeSmell (run live)	Both print exactly: No rules found in group \"<value>\" -- exit code 0 (SUCCESS), no error, no list of valid groups offered			
surface	11 output formats: summary/text/text-verbose/json/checkstyle/sarif/gitlab/github/metrics/health/html	git grep -n \"categor\" src/Reporting/ (zero RuleCategory hits) + bin/qmx check src/Core --format=<each> (run live) + JSON/SARIF payload inspected structurally via python -m json.tool	RuleCategory is NOT observable in any of the 11 formats. JSON meta/summary/health blocks carry no \"category\" key. SARIF rule descriptor (id/name/shortDescription/fullDescription/helpUri/defaultConfiguration) is built from NAME + DESCRIPTION + DOCS_PAGE, never from category. GroupBy enum (--group-by: none/file/rule/severity/class/namespace) is an unrelated, separate vocabulary that groups FINDINGS by rule name, not by RuleCategory.			
surface	website/docs/rules/{group}.md pages	ls website/docs/rules/ + git grep -n \"DOCS_PAGE = 'rules/\" src/	One page per category value for 11/13 categories (annotation, architecture, code-smell, cohesion, complexity, coupling, design, duplication, maintainability, security, size) -- filename literally equals category->value + \".md\". The 2 remaining categories (health, computed) do NOT have rules/health.md or rules/computed.md: the whole 7-producer family documents at reference/health-scores.md instead, per each rule's own DOCS_PAGE constant -- NOT derived from category, declared independently per class/family.			
surface	CLI --group option help text	bin/qmx rules --help (implicit, RulesCommand::configure())	Static example string only: 'Filter by rule group (e.g., complexity, coupling, code-smell)' -- gives 3 examples, not the closed set of 13; nothing in the CLI enumerates all valid --group values today (RuleCategory::cases() is never called anywhere in src/ or tests/, confirmed by grep)			
derivation-risk	PRECEDENT: an existing guard explicitly argues against this exact step	tests/Analysis/Finding/Integration/RuleIdentifierLiteralGuardTest.php:69-77 (ALLOWED_FILES entry for RuleCategory.php)	HIGH-SIGNAL, not a mismatch but a documented objection. The guard's own rationale for exempting RuleCategory.php from its \"no literal rule-name copy outside the owning capability\" rule reads: \"...deriving the group label from a producer name would make the name space's spelling a behavioural contract again -- the exact thing that [RuleCategory's own] docblock records having removed.\" This sentence describes -- and rejects -- precisely the planned step. Whoever wrote this test considered and declined first-segment derivation for RuleCategory specifically. This does not mean the step is wrong, but the plan must explicitly re-open and address this argument, not silently override it.			
derivation-risk	Case-mismatch between enum value and name segment	producers.tsv build script: string equality, case-sensitive, over all 51 producers	REFUTED for all 51 producers. Every RuleCategory::value is already lowercase-hyphenated and identical, byte-for-byte, to its producers' name-segment(s) (e.g. code-smell case name vs \"code-smell\" value vs \"code-smell.*\" segment -- the PascalCase *case name* differs, but that is never compared to anything; only ->value is read).			
derivation-risk	Enum value spelled differently from the segment it names	exhaustive walk of all 13 RuleCategory cases against their producers' first segments (see kind=producer, column equal)	REFUTED: 0 of 51 producers show equal=no. All 13 categories -- including the two-word \"code-smell\" and the shared \"health\"/\"computed\" pair -- already match their producer name segment exactly.			
derivation-risk	A producer name with no dot (\"computed\") collapses oddly under first-segment split	ComputedMetricRule NAME = ComputedMetricChannelFamily::OPEN_PRODUCER_RULE_NAME = \"computed\" (no dot); explode(\".\", \"computed\")[0] === \"computed\"	REFUTED for the current value, but flagged as the one structurally different producer: it is the sole name in the whole vocabulary with no \".\" at all, so its \"family\" IS its full name. A future dotless producer name would silently become its own one-member family/category -- worth naming explicitly in the plan as the edge case the split() must handle, not assume away.			
derivation-risk	Group ordering in `qmx rules` output changes	RulesCommand.php:66 usort by ($a['group'] <=> $b['group']) then name; bin/qmx rules (run live, full 148-line output captured)	REFUTED: sort key is the group STRING, and first-segment derivation yields the identical strings as today's enum values (see equal=yes for all 51 rows), so the sort order is invariant under this specific step. (A separate, unrelated risk: sorting on a derived string is only stable if no future producer's first segment collides with an unrelated category's value -- not observed today, 13 distinct segments for 13 distinct categories.)			
derivation-risk	--group on an unknown value stops being validated	bin/qmx rules --group=nonexistent and --group=CodeSmell (run live, see kind=surface and kind=filter-domain)	NOT A REGRESSION: there is no validation today either -- RuleCategory::cases()/::from() is never called in production code (confirmed by grep), so removing the enum removes no runtime guarantee. It DOES remove the last closed, enumerable list of the 13 valid group spellings (today obtainable in principle via RuleCategory::cases(), even though nothing calls it) -- a discoverability loss, not a behavioral one, and worth naming in the plan.			
derivation-risk	Website docs-page-by-group assumption	git grep -n \"DOCS_PAGE = 'rules/\" src/ (11/13 categories match rules/{value}.md) vs ComputedMetricChannelFamily::DOCS_PAGE = \"reference/health-scores.md\" (health + computed, 7/51 producers)	ADJACENT, not identical to the RuleCategory step: DOCS_PAGE is a separately declared per-class/per-family constant, never derived from RuleCategory or from the name segment today (explicit docblock at RuleDocsPageReader.php:26-31: \"Deliberately not derived from RuleCategory or from the rule name's dot-separated prefix\"). If the upcoming step or a later one is tempted to fold DOCS_PAGE lookup into the same derivation, this is the exact case (health/computed) that breaks it -- flagged here so it is not rediscovered the hard way.			
derivation-risk	ComputedMetricChannelFamily::categoryOf() already IS a working precedent for family-based derivation	src/Analysis/Evidence/ComputedMetrics/Contract/Finding/ComputedMetricChannelFamily.php:137-142	SUPPORTING evidence, not a risk: for 7 of 51 producers (the whole computed-metric family), the category is already computed at runtime from the producer name (OPEN_PRODUCER_RULE_NAME check) rather than looked up per-class. It is not literally split(\".\")[0], but it demonstrates that in-production derivation for this exact enum already exists and is trusted.			
filter-domain	--group value source	Raw string from InputOption::VALUE_REQUIRED, no allow-list, no enum coercion (RulesCommand.php:47)	source read			
filter-domain	--group matching	Strict PHP string inequality $group !== $groupFilter (RulesCommand.php:54) against $rule->category->value; no case-folding, no trim beyond Symfony Console defaults, no partial/prefix match	source read + confirmed by --group=CodeSmell miss			
filter-domain	Unknown group result	Empty $rules array -> \"No rules found in group \\\"<value>\\\"\" message, exit code SUCCESS (0)	bin/qmx rules --group=nonexistent (run live)			
filter-domain	Wrong-case group result	Same as unknown: \"No rules found in group \\\"CodeSmell\\\"\" (canonical value is \"code-smell\") -- case-sensitive, fails silently rather than suggesting the correct spelling	bin/qmx rules --group=CodeSmell (run live)			
filter-domain	Fail-open vs fail-closed	Fail-open: an invalid/misspelled group is treated identically to a valid group with zero matching rules -- no distinct \"unknown group\" diagnostic exists	both live runs above; no RuleCategory::tryFrom()/from() call found anywhere in src/			
