key_or_flag	surface	yaml_path_shape	owner_class_or_file	phase_applied	mechanism	finding_produced	finding_counted	finding_printed_under_show_suppressed	occurrences_total	occurrences_by_area	docs_pages	notes
#   - строковые литералы 'exclude'/'excludePaths'/... как ключи массивов (grep -w находит оба спеллинга camelCase/snake_case);
#   - YAML-путь верхнего уровня и уровня rules.<rule> (прочитан ConfigSchema::sectionPolicies()/identifierKeyedOptions());
#   - CLI-флаги, объявленные в CheckCommandDefinition.php (Read целиком нужных секций);
#   - счётчики находок по стадиям (FindingFilterStage, SuppressionMechanism — закрытые enum'ы, Read целиком).
#
# НЕ ПОКРЫТО (явные пробелы, не факты):
#   - рефлексия / автоконфигурация DI: не проверялось, есть ли компилятор-пасс, который сам сканирует Options-классы
#     на предмет полей exclude_*/ignore_*/skip_* динамически (по CLAUDE.md коллекторы/правила регистрируются вручную
#     по капабилити-конфигураторам, а не сканом — но это утверждение НЕ перепроверено для этой конкретной задачи,
#     то есть "любые exclude_*-поля" в Options.php могло быть найдено grep'ом не по всем 46 файлах *Options.php —
#     из них явно открыты только 11, у остальных 35 наличие/отсутствие exclude-подобных полей UNKNOWN, не проверено;
#   - шаблоны/фронтенд HTML-отчёта (src/Reporting/Template/*.js): не открывались; неизвестно, использует ли JS-код
#     отчёта собственную копию слова "exclude" в UI (например, фильтр в HTML-репорте) — это отдельная поверхность,
#     не входящая в перечисленные ПРЕДМЕТОМ шесть механизмов, но потенциально седьмая, UNKNOWN;
#   - website доки на русском (.ru.md) прочитаны не были — их наличие подтверждено только по имени файла в grep-выдаче,
#     не по содержимому; структурное соответствие EN/RU версий не проверялось (в CLAUDE.md это требование — "Update
#     both EN and RU versions simultaneously" — но эта проверка сама по себе вне объёма перечисления);
#   - finding-gate/ корпус (finding-gate/cases/*/qmx.yaml) содержит несколько кейсов с exclude* в имени директории
#     (excluded-path, disabled-rule, disabled-rule-duplication, rule-exclusion-ledger, only-rules) — их qmx.yaml НЕ
#     были открыты и прочитаны построчно; они подтверждают ЧТО тестируется по имени, но не КАК именно (это отдельная
#     проверка, не выполненная здесь из экономии времени);
#   - внешние потребители за пределами репозитория: по определению не видны никаким локальным способом; согласно
#     CLAUDE.md Backward Compatibility Policy у проекта их формально нет ("no meaningful external user base yet"),
#     что снимает необходимость их искать, но не является фактом, установленным этим перечислением;
#   - разделение occurrences_total для двух РАЗНЫХ exclude_paths (глобальный root-key vs rule-scoped ledger) —
#     они используют идентичную строку, и grep -w физически не может их различить; это явно помечено UNKNOWN
#     в соответствующей notes-ячейке, а не угадано;
#   - PHP `--rule-opt` CLI-форма для exclude_*-опций правил (например --rule-opt=cohesion.lcom:exclude_methods=...) —
#     упомянута в LcomOptions.php докблоке, но её собственный путь через RuleOptionsFactory/CLI-парсер не был
#     прослежен отдельной строкой таблицы (сочтено тем же механизмом, что и rules:{}-YAML-форма, а не седьмым);
#   - полный список из 46 файлов *Options.php не был вычитан построчно на предмет exclude_*/ignore_*/skip_* —
#     таблица покрывает 11 файлов, найденных первым grep'ом по этим трём префиксам; более широкие синонимы
#     (например skip_generated, omit_*, without_*) не искались вовсе — если такие существуют, они не попали
#     в перечисление и это НЕ проверено, а не "проверено и не найдено".
