surface	file	reason
case:smells|format:sarif	declared-delta/case-smells-format-sarif.diff	check now points tool.driver.informationUri at the documentation site and publishes llmsTxt in driver properties
case:smells|format:summary	declared-delta/case-smells-format-summary.diff	check now appends the documentation pointer line to the summary format's tail
case:smells|format:suppressed	declared-delta/case-smells-format-suppressed.diff	check now publishes the docs and llmsTxt addresses in the suppressed format meta block
case:smells|format:text	declared-delta/case-smells-format-text.diff	check now appends the documentation pointer line to the text format's tail
case:smells|format:text-verbose	declared-delta/case-smells-format-text-verbose.diff	text-verbose delegates to text and inherits the documentation pointer line now appended to its tail
case:smells|show-suppressed	declared-delta/case-smells-show-suppressed.diff	check --show-suppressed now appends the documentation pointer line to its stderr report
case:suppression|explain:project:	declared-delta/case-suppression-explain-project.diff	baseline:explain now appends the documentation pointer line to its output
case:suppression|format:health	declared-delta/case-suppression-format-health.diff	check now appends the documentation pointer line to the health format's tail
case:suppression|format:json	declared-delta/case-suppression-format-json.diff	check now publishes the docs and llmsTxt addresses in the json format meta block
case:suppression|format:metrics	declared-delta/case-suppression-format-metrics.diff	check now publishes the docs and llmsTxt addresses among the metrics format root fields
case:suppression|format:sarif	declared-delta/case-suppression-format-sarif.diff	check now points tool.driver.informationUri at the documentation site and publishes llmsTxt in driver properties
case:suppression|format:summary	declared-delta/case-suppression-format-summary.diff	check now appends the documentation pointer line to the summary format's tail
case:suppression|format:suppressed	declared-delta/case-suppression-format-suppressed.diff	check now publishes the docs and llmsTxt addresses in the suppressed format meta block
case:suppression|format:text	declared-delta/case-suppression-format-text.diff	check now appends the documentation pointer line to the text format's tail
case:suppression|format:text-verbose	declared-delta/case-suppression-format-text-verbose.diff	text-verbose delegates to text and inherits the documentation pointer line now appended to its tail
case:suppression|show-suppressed	declared-delta/case-suppression-show-suppressed.diff	check --show-suppressed now appends the documentation pointer line to its stderr report
tree|rules	declared-delta/tree-rules.diff	the rules command now appends the documentation pointer line after its Usage: block
